productName,prefix,minWidth,maxWidth,minLength,maxLength,dropdownWidthMax,dropdownLengthMax
"Tri-Dek #3 2-Ply Pre-Cut Sleeves",070,4.5,60,4.5,100,60,70
"Wire Ring Frames for Pre-Cut Sleeves",072,4,33.25,4,77.25,34,70
