type,media,height,width,rangeFrom,rangeTo,priceCustomStandard,PriceCustomAt
054,2,>25;<34,<78,350,499,6.08,6.32
054,2,>25;<34,<78,500,649,6.61,6.87
054,2,>25;<34,<78,650,799,7.13,7.42
054,2,>25;<34,<78,800,949,7.66,7.97
054,2,>25;<34,<78,950,1099,8.18,8.51
054,2,>25;<34,<78,1100,1299,8.88,9.24
054,2,>25;<34,<78,1300,1499,9.58,9.96
054,2,>25;<34,<78,1500,1699,10.28,10.69
054,2,>25;<34,<78,1700,1899,10.99,11.43
054,2,>25;<34,<78,1900,2099,11.68,12.15
054,2,>25;<34,<78,2100,2299,12.38,12.88
054,2,>25;<34,<78,2300,2568,13.32,13.85
054,2,>34;<52,<78,500,1113,11.97,12.45
054,2,>34;<52,<78,1114,1499,11.97,12.45
054,2,>34;<52,<78,1500,1999,14.56,15.14
054,2,>34;<52,<78,2000,2499,17.15,17.84
054,2,>34;<52,<78,2500,2999,19.73,20.52
054,2,>34;<52,<78,3000,3599,22.83,23.74
054,2,>34;<52,<78,3600,3959,24.68,25.67
056,4,<25,<25,16,249,4.31,4.48
056,4,<25,<25,250,299,4.42,4.60
056,4,<25,<25,300,349,4.51,4.69
056,4,<25,<25,350,399,4.6,4.78
056,4,<25,<25,400,449,4.7,4.89
056,4,<25,<25,450,499,4.79,4.98
056,4,<25,<25,500,549,4.9,5.10
056,4,<25,<25,550,599,4.99,5.19
056,4,<25,>25;<48,16,249,4.94,5.14
056,4,<25,>25;<48,250,399,5.2,5.41
056,4,<25,>25;<48,400,499,5.38,5.60
056,4,<25,>25;<48,500,649,5.64,5.87
056,4,<25,>25;<48,650,699,5.72,5.95
056,4,<25,>25;<48,700,999,6.25,6.50
056,4,<25,>25;<48,1000,1145,6.51,6.77
056,4,<25,>48;<78,16,499,5.57,5.79
056,4,<25,>48;<78,500,649,5.82,6.05
056,4,<25,>48;<78,650,799,6.09,6.33
056,4,<25,>48;<78,800,1099,6.62,6.88
056,4,<25,>48;<78,1100,1299,6.97,7.25
056,4,<25,>48;<78,1300,1499,11.75,12.22
056,4,<25,>48;<78,1500,1699,12.61,13.11
056,4,<25,>48;<78,1700,1899,13.46,14.00
056,4,>25;<34,<78,16,349,6.81,7.08
056,4,>25;<34,<78,350,499,7.46,7.76
056,4,>25;<34,<78,500,649,8.1,8.42
056,4,>25;<34,<78,650,799,8.75,9.10
056,4,>25;<34,<78,800,949,9.39,9.77
056,4,>25;<34,<78,950,1099,10.04,10.44
056,4,>25;<34,<78,1100,1299,10.89,11.33
056,4,>25;<34,<78,1300,1499,11.75,12.22
056,4,>25;<34,<78,1500,1699,12.61,13.11
056,4,>25;<34,<78,1700,1899,13.46,14.00
056,4,>25;<34,<78,1900,2099,14.32,14.89
056,4,>25;<34,<78,2100,2299,15.18,15.79
056,4,>25;<34,<78,2300,2568,16.33,16.98
056,4,>34;<52,<78,500,1113,14.69,15.28
056,4,>34;<52,<78,1114,1499,14.69,15.28
056,4,>34;<52,<78,1500,1999,17.85,18.56
056,4,>34;<52,<78,2000,2499,21.02,21.86
056,4,>34;<52,<78,2500,2999,24.19,25.16
056,4,>34;<52,<78,3000,3599,27.99,29.11
056,4,>34;<52,<78,3600,3959,30.27,31.48
