Product_Prefix,Min_Range,Max_Range,1_Update,1_Double,1_Triple,2_Update,2_Double,2_Triple,4_Update,4_Double,4_Triple
22210,300,599,12.91,15.49,20.14,15.53,16.75,21.77,26.4,28.47,37.01
22210,600,899,14.17,18.59,24.17,18.64,20.1,26.13,31.68,34.17,44.41
22210,900,1199,16.3,22.31,29,21.43,24.12,31.35,36.44,41,53.3
22210,1200,1499,18.75,26.77,34.81,24.65,28.94,37.62,41.9,49.2,63.96
22210,1500,1799,21.56,32.13,41.77,28.35,34.73,45.15,48.19,59.04,76.75
23209,1,299,10.87,14.93,19.41,11.96,16.96,22.05,20.33,28.84,37.49
23209,300,599,14.93,17.92,23.29,17.96,19.37,25.18,30.53,32.93,42.8
23209,600,899,16.39,21.5,27.95,21.55,23.24,30.21,36.64,39.51,51.36
23209,900,1199,18.85,25.8,33.54,24.79,27.89,36.26,42.14,47.41,61.64
23209,1200,1499,21.68,30.96,40.25,28.5,33.47,43.51,48.46,56.9,73.96
23209,1500,1799,24.93,37.16,48.3,32.78,40.16,52.21,55.73,68.27,88.76
23309,1,299,11.96,16.43,21.35,13.15,18.66,24.26,22.36,31.72,41.23
23309,300,599,16.43,19.71,25.62,19.76,21.3,27.7,33.59,36.22,47.08
23309,600,899,18.03,23.65,30.75,23.71,25.57,33.24,40.31,43.46,56.5
23309,900,1199,20.74,28.38,36.9,27.27,30.68,39.88,46.35,52.15,67.8
23309,1200,1499,23.85,34.06,44.28,31.36,36.81,47.86,53.3,62.59,81.36
23309,1500,1799,27.42,40.87,53.13,36.06,44.18,57.43,61.3,75.1,97.63
23210,1,299,11.42,15.68,20.38,12.55,17.81,23.15,21.34,30.28,39.36
23210,300,599,15.68,18.81,24.46,18.86,20.34,26.44,32.06,34.57,44.94
23210,600,899,17.21,22.58,29.35,22.63,24.4,31.72,38.47,41.49,53.93
23210,900,1199,19.79,27.09,35.22,26.03,29.28,38.07,44.24,49.78,64.72
23210,1200,1499,22.76,32.51,42.26,29.93,35.14,45.68,50.88,59.74,77.66
23210,1500,1799,26.18,39.01,50.72,34.42,42.17,54.82,58.51,71.69,93.2
23310,1,299,12.56,17.25,22.42,13.81,19.59,25.47,23.48,33.3,43.3
23310,300,599,17.25,20.7,26.9,20.75,22.37,29.08,35.27,38.03,49.44
23310,600,899,18.93,24.83,32.28,24.89,26.84,34.9,42.32,45.64,59.33
23310,900,1199,21.77,29.8,38.74,28.63,32.21,41.88,48.67,54.76,71.19
23310,1200,1499,25.04,35.76,46.49,32.92,38.66,50.25,55.97,65.71,85.43
23310,1500,1799,28.8,42.91,55.79,37.86,46.39,60.3,64.36,78.86,102.51
23211,1,299,12.83,17.62,22.91,14.11,20.01,26.02,23.98,34.03,44.23
23211,300,599,17.62,21.14,27.49,21.19,22.85,29.71,36.03,38.85,50.51
23211,600,899,19.34,25.37,32.98,25.43,27.43,35.65,43.24,46.62,60.61
23211,900,1199,22.24,30.45,39.58,29.25,32.91,42.78,49.72,55.95,72.73
23211,1200,1499,25.58,36.54,47.5,33.64,39.49,51.34,57.18,67.14,87.28
23211,1500,1799,29.42,43.84,57,38.68,47.39,61.61,65.76,80.56,104.73
23311,1,299,14.11,19.38,25.2,15.52,22.02,28.62,26.38,37.43,48.66
23311,300,599,19.38,23.26,30.24,23.31,25.14,32.68,39.63,42.74,55.56
23311,600,899,21.28,27.91,36.28,27.98,30.17,39.22,47.56,51.29,66.67
23311,900,1199,24.47,33.49,43.54,32.17,36.2,47.06,54.69,61.54,80
23311,1200,1499,28.14,40.19,52.25,37,43.44,56.47,62.9,73.85,96.01
23311,1500,1799,32.36,48.23,62.7,42.55,52.13,67.77,72.33,88.62,115.21
23213,1,299,15.14,20.79,27.03,16.65,23.62,30.7,28.3,40.15,52.19
23213,300,599,20.79,24.95,32.43,25.01,26.97,35.06,42.52,45.85,59.6
23213,600,899,22.82,29.94,38.92,30.01,32.36,42.07,51.02,55.01,71.52
23213,900,1199,26.25,35.93,46.71,34.51,38.83,50.48,58.67,66.02,85.82
23213,1200,1499,30.19,43.11,56.05,39.69,46.6,60.58,67.47,79.22,102.99
23213,1500,1799,34.71,51.73,67.26,45.64,55.92,72.7,77.59,95.07,123.59
21508,1,299,8.15,11.19,14.56,8.97,12.73,16.54,15.25,21.63,28.12
21508,300,599,11.19,13.44,17.47,13.47,14.52,18.89,22.91,24.7,32.1
21508,600,899,12.3,16.12,20.97,16.16,17.43,22.66,27.48,29.63,38.52
21508,900,1199,14.14,19.36,25.16,18.59,20.92,27.2,31.6,35.56,46.23
21508,1200,1499,16.26,23.22,30.19,21.39,25.1,32.63,36.35,42.67,55.47
21508,1500,1799,18.69,27.87,36.23,24.58,30.12,39.16,41.8,51.21,66.57
